ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
DAUNNE DEVI CHURA AND GLASS UDHYOG PVT. LTD.,Nawalparasi,Private,2051,
JOSHI AGRO ALAID FARM PVT. LTD.,Nawalparasi,Private,2051,
SUKROULI CONSULTANT PVT. LTD.,Nawalparasi,Private,2051,
TEACHER FOOD AND WEVAREG COMPANY PVT. LTD.,Nawalparasi,Private,2051,
NEMKUL PLASTIC,Nawalparasi,Private,2051,
RAJHAR TRADING,Nawalparasi,Private,2051,
KEURENI TRADING,Nawalparasi,Private,2051,
DAWANE TRADING,Nawalparasi,Private,2051,
PAHARI KRISHI FARM,Nawalparasi,Private,2051,
NEPAL VETERINARY DRUG INDUSTRIES,Nawalparasi,Private,2052,
SURYA PEPER MILLS,Nawalparasi,Private,2052,
Close-Up Refrigeration Company,Nawalparasi,Private,2052,
NARAYANI PRE STRESS INDUSTRIES,Nawalparasi,Private,2052,
TIGER'S ISLAND RESORT,Nawalparasi,Private,2052,
BASISTHA PACKAGING IND. PVT.LTD.,Nawalparasi,Private,2052,
SIDDHI CONFECTIONARY PVT.LTD.,Nawalparasi,Private,2052,
GODARG ELECTRICAL TUBE & BULB INDUSTRIES,Nawalparasi,Private,2053,
KISAN PIPE PRODUCTS,Nawalparasi,Private,2053,
SURYA PENCILS (NEPAL) PVT.LTD.,Nawalparasi,Private,2053,
TRIBENI GOBAR GAS COMPANY,Nawalparasi,Private,2053,
MANAKAMANA TEXTILE,Nawalparasi,Private,2053,
OM DISTILLARY,Nawalparasi,Private,2053,
KABITA TRADE CONCERN,Nawalparasi,Private,2053,
HIMCHULI POULTRY,Nawalparasi,Private,2053,
KALPADIP CHALCHITRA MANDIR  PVT.LTD.,Nawalparasi,Private,2054,
GAUTAM FEED INDUSTRIES,Nawalparasi,Private,2054,
SCOTLAND DISTILLARIES,Nawalparasi,Private,2054,
HARIYALI GOBAR GAS CO.PVT.LTD.,Nawalparasi,Private,2054,
NISHA ENTERPRISES PVT.LTD.,Nawalparasi,Private,2054,
HIRA RICE MILLS PVT.LTD.,Nawalparasi,Private,2054,
SHIKHAR DETERGENT PRODUCTION,Nawalparasi,Private,2054,
LALIGURANS GOBAR GAS CO.,Nawalparasi,Private,2054,
HORIZON (NEW) GREEN WORLD SERVICES PVT.LTD.,Nawalparasi,Private,2054,
CHINA NEPAL CONSTRUCTION MATERIAL CO,Nawalparasi,Private,2054,
OM SAI PLASTIC PVT.LTD.,Nawalparasi,Private,2054,
DYNAMIC FEBRICKS CO.,Nawalparasi,Private,2054,
JANA KALYAN ASPATAL,Nawalparasi,Private,2054,
INTERORIENT (NEPAL) COMPANY,Nawalparasi,Private,2054,
Peace Technology,Nawalparasi,Private,2055,
KHATRI WOVAN SACKS INDUSTRIES PVT.LTD.,Nawalparasi,Private,2055,
KHATRI ELECTRIC INDUSTRIES PVT.LTD.,Nawalparasi,Private,2055,
ASIA DISTILLERS PVT.LTD.,Nawalparasi,Private,2055,
TRIBENI MULTI MEDIA CENTRE PVT.LTD.,Nawalparasi,Private,2055,
SHREE S.P. COLD DRY MEAT UDYOG,Nawalparasi,Private,2055,
HERBAL AND FLAVOUR OF NEPAL,Nawalparasi,Private,2055,
MILIJULI POULTRY & FEEDS CO.PVT.LTD.,Nawalparasi,Private,2055,
S.B. DISTILLARY,Nawalparasi,Private,2055,
KAWASOTI ASPATAL PVT.LTD.,Nawalparasi,Private,2055,
INDIRA SUGAR & AGRO INDUSTRIES,Nawalparasi,Private,2055,
OM SPICES,Nawalparasi,Private,2055,
KALIKA HATCHERY AND  POULTRY FARM,Nawalparasi,Private,2055,
NIL KAMAL HOTEL,Nawalparasi,Private,2055,
CHITWAN TIGER RESORT,Nawalparasi,Private,2056,
SIDDHARTHA LUMBINI RESORT,Nawalparasi,Private,2056,
CLUB WILDERNESS CHITWAN RESORT,Nawalparasi,Private,2056,
SHREE DAUNNE DEVI SWASTHYA TALIM KENDRA,Nawalparasi,Private,2056,
SEHARI JUNGLE RESORT,Nawalparasi,Private,2056,
KALIKA MEDICAL TECHNICAL INSTITUTE,Nawalparasi,Private,2056,
AARATI TECHNICAL INSTITUTE,Nawalparasi,Private,2056,
DAUNNEY SPACE NETWORK,Nawalparasi,Private,2056,
JAYA BUDDHA  COTTON MILLS,Nawalparasi,Private,2056,
MAI MANAKAMANA CONCRETE POLE UDYOG,Nawalparasi,Private,2056,
SUNWAL SPACE CABLE,Nawalparasi,Private,2056,
TRIPURESHWOR CONDUCTOR UDDHYOG,Nawalparasi,Private,2057,
BALMIKI RICE MILLS,Nawalparasi,Private,2057,
GALAXY TEXTILE MILLS,Nawalparasi,Private,2057,
MANAKAMANA LODGE & RESTAURANT,Nawalparasi,Private,2057,
W. OIL SUPPLIERS,Nawalparasi,Private,2057,
DADHIRAM (SHREE) MARASINI PRABIDHIK,Nawalparasi,Private,2057,
JAYA SHAMBHU CHALCHITRA MANDIR,Nawalparasi,Private,2057,
SARASWATI BONE INDUSTRY,Nawalparasi,Private,2057,
PRAYAG & PRAGATI CONSTRUCTION,Nawalparasi,Private,2057,
EKATA STONE CRUSHER UDDHYOG,Nawalparasi,Private,2057,
PRAGATI SAW MILL UDHYOG,Nawalparasi,Private,2057,
NAWALPUR POLYCLINIC,Nawalparasi,Private,2057,
NAWALPUR SPACE CABLE NETWORK CO.,Nawalparasi,Private,2057,
NABALPARASI  KHADYA UDYOG,Nawalparasi,Private,2057,
LAWAKUSH PLASTIC UDHYOG,Nawalparasi,Private,2057,
RAJ READYMADE GARMENTS,Nawalparasi,Private,2057,
GOVINDA DHUP UDHYOG,Nawalparasi,Private,2057,
CATLE AND POULTRY FEEDS,Nawalparasi,Private,2057,
UNITED POULTRY FARM,Nawalparasi,Private,2058,
MACHHAPUCHHRE CHALCHITRA BHAWAN,Nawalparasi,Private,2058,
KIRAN CABLE NETWORK,Nawalparasi,Private,2058,
JAYA BUDDHA SERVICE COMPANY,Nawalparasi,Private,2058,
RAUT SERVICE COMPANY,Nawalparasi,Private,2058,
G.P. SERVICE COMPANY,Nawalparasi,Private,2058,
AALE SERVICE,Nawalparasi,Private,2058,
PARASI CABLE NETWORK,Nawalparasi,Private,2058,
KHANAL POLYCLINIC,Nawalparasi,Private,2058,
SREE SHUBHAM VET CARE,Nawalparasi,Private,2058,
NEPAL CROSS - PROJECTION TECHNOLOGY,Nawalparasi,Private,2058,
HIMCHULI FEED INDUSTRIES,Nawalparasi,Private,2058,
VISHWAROOP SECURITY SERVICES,Nawalparasi,Private,2058,
KAUSHIC POLY,Nawalparasi,Private,2058,
DACHHINKALI FUEL,Nawalparasi,Private,2058,
GLOBLE INFORMATION TECHNOLOGY,Nawalparasi,Private,2058,
JADIBUTI TATHA KRISHIJANYA UTPADAN TATHA,Nawalparasi,Private,2058,
DAUNNE COLOUR LAB,Nawalparasi,Private,2058,
WISE VISION ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2058,
SUNARI CHEMICAL INDUSTRY,Nawalparasi,Private,2059,
BAHUUDDHESIYA KRISHI TATHA JADIBUTI UDHYOG,Nawalparasi,Private,2059,
KARKI CEMENT SAMAGRI UDHYOG,Nawalparasi,Private,2059,
GYAN JYOTI ACADEMY,Nawalparasi,Private,2059,
ARPAN ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
SHANTI DIP ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
NAWALPUR ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
KAWASOTI ST. JOSEPH ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
SALBAS SUNRISE ENGLISH SCHOOL,Nawalparasi,Private,2059,
KUMARWARTI ENGLISH SCHOOL,Nawalparasi,Private,2059,
ADARSHA PUBLIC BOARDING SCHOOL,Nawalparasi,Private,2059,
BASANTAPUR ZENITH ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
SISKIN ENGLISH SCHOOL,Nawalparasi,Private,2059,
RURAL ACADEMY,Nawalparasi,Private,2059,
NEW NAWAL ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
KOILAPANI EVEREST ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
Siddharth Shanti Niketan,Nawalparasi,Private,2059,
HOLI ANGELS ENGLISH SCHOOL,Nawalparasi,Private,2059,
BARDGHAT MANAKAMANA ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
MODERN HOLY GARDEN SCHOOL,Nawalparasi,Private,2059,
BAL KALYAN ENGLISH SCHOOL,Nawalparasi,Private,2059,
CONTINENTAL ACADEMY,Nawalparasi,Private,2059,
UNIVERSAL SCHOLARS ACADEMY,Nawalparasi,Private,2059,
BLUE STAR ENGLISH SCHOOL,Nawalparasi,Private,2059,
SARASWATI NIKETAN ENGLISH BOARDING (RASTRIYA*BAHUYAMIK),Nawalparasi,Private,2059,
BIJAY SAMUDAYIK SHIKCHHYA SADAN,Nawalparasi,Private,2059,
M.R. AND  GROUP,Nawalparasi,Private,2059,
SMALL PARADISE ACADEMIC CO-EDUCATION NEPAL,Nawalparasi,Private,2059,
SHINING ENGLISH SECONDARY SCHOOL GAIDKOT,Nawalparasi,Private,2059,
GOLDEN FUTURE ENGLISH BOARDING SCHOOL NAWALPUR,Nawalparasi,Private,2059,
KALIKA CABLE NETWORK,Nawalparasi,Private,2059,
NAWALPARASI BAKHRA PALAN FARM,Nawalparasi,Private,2059,
BLUE DIAMOND TRADERS,Nawalparasi,Private,2059,
WORLD LIGHT ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
THE PIONEER  ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
SOMNATH BABA MADHYAMIK VIDHYALAYA NAWALPARASI,Nawalparasi,Private,2059,
DIGDARSHAN ACADEMY,Nawalparasi,Private,2059,
BHRIKUTI PRAGATI ENGLISH BOARDING SCHOOL *,Nawalparasi,Private,2059,
SIDDHARTHA AAWASIYA MADHYAMIK VIDHYALAYA*,Nawalparasi,Private,2059,
SHANTI NIKETAN SCHOOL OF SCIENCE AND MANAGEMENT NAWALPARASI,Nawalparasi,Private,2059,
SAKURA MEMORIAL EDUCATIONAL AND RESEARCH FOUNDATION NAWALPARASI,Nawalparasi,Private,2059,
"MOUNT EVEREST ENGLISH BOARDING SCHOOL, NAWAL*",Nawalparasi,Private,2059,
MAYADEVI ENGLISH SCHOOL,Nawalparasi,Private,2059,
THE NEW BUD SWATHI ENGLISH SCHOOL,Nawalparasi,Private,2059,
CANAL CENTER ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
UJJWAL SHISHU ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
AMAR ENGLISH SECONDARY BOARDING SCHOOL AMARAPURI,Nawalparasi,Private,2059,
BELDIHA SURYODAYA VIDYA MANDIR,Nawalparasi,Private,2059,
EX ARMY PUBLIC ENGLISH SCHOOL NABALPARASI,Nawalparasi,Private,2059,
PITHAULI WISE VISION ENGLISH SCHOOL,Nawalparasi,Private,2059,
NARAYANI ACADEMY NAWALPARASI,Nawalparasi,Private,2059,
GOBRAHIYA SIDDHARTHA ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
NEW CHILDRENS ACADEMY NAWALPARASI,Nawalparasi,Private,2059,
VIURAN SMALL HEAVEN ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
LOK MEMORIAL ACADEMY NAWALPARASI,Nawalparasi,Private,2059,
Aarunkhola Secondary School,Nawalparasi,Private,2059,
FUTURE LIGHT ACADEMY NAWALPARASI,Nawalparasi,Private,2059,
HAKUI GYAN JYOTI ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
NEW ILFE SECONDARY SCHOOL,Nawalparasi,Private,2059,
DUMKIBAS CABLE NETWORK,Nawalparasi,Private,2059,
vidhya sagar prasiddha english boarding school,Nawalparasi,Private,2059,
KAWASOTI COLOUR LAB,Nawalparasi,Private,2059,
ADARSHA JANAKI ACADEMI,Nawalparasi,Private,2059,
NATIONAL PUBLIC ENGLISH BOARDING SCHOOL *,Nawalparasi,Private,2059,
TAMASPUR SUNRISE ACADEMY NAWALPARASI,Nawalparasi,Private,2059,
UNIVERSAL CAMBRIDGE ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
KUMARWARTI  ITTA UDHYOG,Nawalparasi,Private,2059,
LITTLE BUDDHA EDUCATION FOUNDATION,Nawalparasi,Private,2059,
MOUNT EVEREST BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
SHIVAHARI JADIBUTI PRASODHAN KENDRA,Nawalparasi,Private,2059,
UCHCHA JYOTI AWASIA VIDHYALAYA NAWALPARASI,Nawalparasi,Private,2059,
SHREE ADARSHA ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2059,
RAMGRAM SAGARMATHA ACADEMY NAWALPARASI,Nawalparasi,Private,2059,
SHANTI DEEP ACADEMY DUMKIBAS,Nawalparasi,Private,2059,
JYOTI (NAWA) COLOUR LAB PVT. LTD.,Nawalparasi,Private,2059,
PRAGATI CABLE NETWORK,Nawalparasi,Private,2059,
NEW FLOWER-GARDEN  ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
PALDADA HOLYCARE ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
VISHWA JYOTI INSTITUTE NAWALPARASI,Nawalparasi,Private,2059,
NEW STAR BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
UNIQUE ACADEMY NAWALPARASI,Nawalparasi,Private,2059,
THE POPULAR ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
LUMBINI AAWASIYA MADHYAMIK VIDHYALAYA NAWALPARASI,Nawalparasi,Private,2059,
SHREE SURYA BINAYAK ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
BHOO.-PU. SAINIK PRABHAT ACADEMY NAWALPARASI,Nawalparasi,Private,2059,
GREEN LAWNS ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
NEW GYAN JYOTI BOARDING SCHOOL (KOLHUWA ),Nawalparasi,Private,2059,
ANNAPURNA ENGLISH MEDIUM SCHOOL,Nawalparasi,Private,2059,
GYAN JYOTI ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
FUTURE GENERATION ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
PALHI BHAGAWATI DICTION ACADEMY,Nawalparasi,Private,2059,
NEW SUNRISE ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2059,
LAKHAN THAPA MEMORIAL ACADEMY,Nawalparasi,Private,2060,
SHREE BHAGAWATI  ENGLISH SCHOOL NABALPARASI,Nawalparasi,Private,2060,
UNITED ENGLISH BOARDING SCHOOL HARDIYA,Nawalparasi,Private,2060,
MARTYRS MEMORIAL ENGLISH ACADEMY (NAWALPARASI),Nawalparasi,Private,2060,
ST. PAUL ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2060,
MOON LIGHT ACADEMY,Nawalparasi,Private,2060,
SUMI PHARMACEUTICALS,Nawalparasi,Private,2060,
HIMALAYAN RANIBAN RESORT,Nawalparasi,Private,2060,
R.K. ENGINEERING,Nawalparasi,Private,2060,
B. AND B. PACKAGING INDUSTRIES,Nawalparasi,Private,2060,
PRAGATI LAW FIRM AND RESEARCH CENTRE,Nawalparasi,Private,2060,
LORD BUDDHA ACADEMY NAWALPARASI,Nawalparasi,Private,2060,
LUMBINI MEAT PRODUCTION,Nawalparasi,Private,2060,
MUKUNDASEN CABLE NETWORK,Nawalparasi,Private,2060,
WISDOM BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2060,
OXFORD COLLEGE OF ENGINEERING & MANAGEMENT,Nawalparasi,Private,2060,
DEVCHULI POWER,Nawalparasi,Private,2060,
MAULAKALIKA ENERGY,Nawalparasi,Private,2060,
MUKUNDA SEN BIBIDH SEWA,Nawalparasi,Private,2060,
SIDDHARTHA DARSHAN,Nawalparasi,Private,2060,
MUKUNDASEN POWER,Nawalparasi,Private,2060,
DIBYAPURI GALAXY ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2060,
MANAKAMANA POLYCLINIC AND DIAGONOSIS CENTRE,Nawalparasi,Private,2060,
NEW LIFE BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2060,
S.K. HEALTH CENTRE,Nawalparasi,Private,2060,
B. & B. SERVICE COMPANY,Nawalparasi,Private,2060,
SUN FLOWER ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2060,
SAPTAGANDAKI POWER COMPANY,Nawalparasi,Private,2060,
RURAL PUBLIC SERVICE,Nawalparasi,Private,2060,
DEAURALI POWER COMPANY,Nawalparasi,Private,2060,
HIMALAYAN RIVER LAGOON RESORT,Nawalparasi,Private,2060,
IRIS ACADEMY NAWALPARASI PVT. LTD.,Nawalparasi,Private,2060,
HOME LAND ENGLSISH SCHOOL,Nawalparasi,Private,2061,
THE SPINE ENGLISH SCHOOL,Nawalparasi,Private,2061,
SHREE SIDDHARTHA PUBLIC SCHOOL NAWAIPARASI,Nawalparasi,Private,2061,
PUBLIC (NEW) ENGLISH SCHOOL NAWALPARASI PVT.,Nawalparasi,Private,2061,
Debhis School,Nawalparasi,Private,2061,
BARDAGHAT ENLIGHTENED ENGLISH SCHOOL,Nawalparasi,Private,2061,
LITTLE PLANT ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
RAMGRAM CABLE NETWORK,Nawalparasi,Private,2061,
GYAN KUNJA SHIKSHA SADAN,Nawalparasi,Private,2061,
G. PERFECT GROUP NAWALPARASI PVT. LTD.,Nawalparasi,Private,2061,
G-PERFECT GRUOP NAWALPARASI,Nawalparasi,Private,2061,
AMAR ENGLISH SCHOOL,Nawalparasi,Private,2061,
SAYAPATRI ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
GARURISHANKAR DEVELOPMENT BANK,Nawalparasi,Public,2061,
BAL VIKASH ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
SIDDHARTHA ACADEMIC FOUNDATION,Nawalparasi,Private,2061,
KUMUDINI ACADEMY NAWALPARASI,Nawalparasi,Private,2061,
NEW LIGHT ENGLISH SCHOOL KUNJANPUR,Nawalparasi,Private,2061,
VISHWA JYOTI EDUCATION FOUNDATION NAWALPARASI,Nawalparasi,Private,2061,
Namobuddha English School Nawalparasi,Nawalparasi,Private,2061,
CENTRAL PUBLIC ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
SUN RISE ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
THUMKI DEVI BRIGHT FUTURE ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2061,
BUDDHA (NAMO) ENGLISH SCHOOL NAWALPARASI PVT.,Nawalparasi,Private,2061,
ANGELS' EDUCATIONAL FOUNDATION NAWALPARASI,Nawalparasi,Private,2061,
NOMA BUDDHA ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
SUNBAL LOTUS ENGLISH SCHOOL,Nawalparasi,Private,2061,
RICHARD ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
CHILDRENS PARADISE ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
"PYX ACADEMY ENGLISH SCHOOL, NAWALPARASI",Nawalparasi,Private,2061,
"BABA SHAKTI ENGLISH SCHOOL, NAWALPARASI",Nawalparasi,Private,2061,
RAMGRAM EDUCATION FOUNDATION,Nawalparasi,Private,2061,
MILAN  ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
SHREE SIDDHARTHA SHISHU SADAN ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
Asian Agricultura Center,Nawalparasi,Public,2061,
SUN SHINE ENGLISH BOARDING SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
SAGAR BEE,Nawalparasi,Private,2061,
SIDDHANTA PLASTIC UDHYOG,Nawalparasi,Private,2061,
SHREE SUNAWAL UNITED BOARDING ENGLISH SCHOOL NAWALPARASI,Nawalparasi,Private,2061,
GLORIOUS ACADEMY NAWALPARASI,Nawalparasi,Private,2061,
TRIVENI OFFSET COMPANY,Nawalparasi,Private,2062,
SATYAWATI ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2062,
NEW LITTLE BUDDHA ENGLISH SCHOOL NAWALPARAI,Nawalparasi,Private,2062,
SOCIAL EVERGREEN ENGLISH SCHOOL,Nawalparasi,Private,2062,
MOON LIGHT SOCIAL EDUCATIONAL ENGLISH SCHOOL,Nawalparasi,Private,2062,
PRAGYIK BUILDERS,Nawalparasi,Private,2062,
PARBAT HEALTH HOME CARE,Nawalparasi,Private,2062,
SIDDHARTH SEED COMPANY,Nawalparasi,Private,2062,
Kali Gandaki Health Foundation,Nawalparasi,Private,2062,
ABINASH TRADE INTERNATIONAL,Nawalparasi,Private,2062,
DAUNNE DEVI OVERSEAS CONSULTANCY PVT. LTD.,Nawalparasi,Private,2062,
BLOOMING BUDS BOARDING SCHOOL PVT. LTD.,Nawalparasi,Private,2062,
TRIMURTI VIDHYA MANDIR,Nawalparasi,Private,2062,
RADHESHYAM SHISHU GYAN MANDIR,Nawalparasi,Private,2062,
BAGESWORI CABLE NETWORK,Nawalparasi,Private,2062,
BALMIKI CABLE NETWORK,Nawalparasi,Private,2062,
GUTHI SURYAPURA ENGLISH BOARDING SCHOOL COMPANY,Nawalparasi,Private,2062,
GAINDAKOT ENGLISH SCHOOL,Nawalparasi,Private,2062,
NAWALPUR ACADEMY,Nawalparasi,Private,2062,
NAWALPUR MOONLIGHT EDUCATIONAL FOUNDATION,Nawalparasi,Private,2062,
NAWAL ACADEMY,Nawalparasi,Private,2062,
AUSPICIOUS MEDI TRADE,Nawalparasi,Private,2062,
MAHESHPUR MOONLIGHT ENGLISH SCHOOL,Nawalparasi,Private,2062,
SHARADA POULTRY FARM,Nawalparasi,Private,2062,
SHREE UJJWAL  SAMUDAYIK ENGLISH SCHOOL,Nawalparasi,Private,2062,
SHREE SAPKOTA  FURNITURE UDHYOG,Nawalparasi,Private,2062,
PITHAULI SHANTI NIKETAN BOARDING SCHOOL PVT.,Nawalparasi,Private,2062,
Parasi Glorious School,Nawalparasi,Private,2063,
GAURI SHANKAR RICE MILL,Nawalparasi,Private,2063,
DAUNNE DEVI POLYCLINIC,Nawalparasi,Private,2063,
VIVID MONEY TRANSFER,Nawalparasi,Private,2063,
SHARMA REMITTANCE,Nawalparasi,Private,2063,
PARMESHWAR MONEY TRASFER,Nawalparasi,Private,2063,
LUMBINI EMPLOYMENT SERVICE,Nawalparasi,Private,2063,
GAURI SHANKAR OIL SUPPLIERS,Nawalparasi,Private,2063,
The PARADISE NATIONAL ENGLISH BOARDING SCHOOL *,Nawalparasi,Private,2063,
G.G. ENTERPRISES,Nawalparasi,Private,2063,
NAWADURGA DAIRY,Nawalparasi,Private,2063,
TRIBENI BAIKALPIK URJA COMPANY PVT. LTD.,Nawalparasi,Private,2063,
COLLEGE OF COMPUTER SYSTEM,Nawalparasi,Private,2063,
WAYS,Nawalparasi,Private,2063,
LUMBINI BIOGAS TATHA URJA BIKAS SEWA,Nawalparasi,Private,2063,
MAHALAXMI GITTI CRUSHEING SCREEN PLANT  UDHYOG,Nawalparasi,Private,2063,
BUDDHA SEED COMPANY,Nawalparasi,Private,2063,
BHAGYODAYA TRADE SUPPLIERS,Nawalparasi,Private,2063,
UTTAM  ITTA UDHYOG,Nawalparasi,Private,2063,
MAULA KALI HOUSING,Nawalparasi,Private,2063,
MAULAKALI CABLE T.V. NETWORK,Nawalparasi,Private,2063,
SAYAPATRI KAPI UDHYOG,Nawalparasi,Private,2063,
S.S. NIKETAN ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2063,
RAMNAGAR EDUCATIONAL FOUNDATION & RESEARCH  CENTER *,Nawalparasi,Private,2063,
SUN FLOWER BUSINESS LINK,Nawalparasi,Private,2063,
GYAN KUNJA EDUCATIONAL CENTRE,Nawalparasi,Private,2063,
BARDAGHAT MONEY NETWORK,Nawalparasi,Private,2063,
LUMBINI SAMUDAYIK ENGLISH SCHOOL,Nawalparasi,Private,2063,
NEW SMARIKA  ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2063,
MANAKAMANA HEALTH CARE CENTRE,Nawalparasi,Private,2063,
KOREAN MENPOWER TECHNICAL TRAINING CENTRE,Nawalparasi,Private,2063,
VITAL FORCE HERBAL MINERAL WATER AND FRUITY JUICE COMPANY,Nawalparasi,Private,2063,
DHAULAGIRI FARM HOUSE,Nawalparasi,Private,2063,
E-MAN CONSULTANCY PVT. LTD.,Nawalparasi,Private,2063,
SURYA SHAKTI VESSEL,Nawalparasi,Private,2063,
NAWALPUR AGRO ENTERPRISES,Nawalparasi,Private,2063,
NOBLE ACADEMY AAWASHIYA MADHYAMIK VIDHYALAYA,Nawalparasi,Private,2064,
DEVCHULI REAL ESTATE,Nawalparasi,Private,2064,
WORLD VIEW NETWORK,Nawalparasi,Private,2064,
MODERN FEED & AGRO BASE INDUSTRIES,Nawalparasi,Private,2064,
DILAGHARE COLD STORE,Nawalparasi,Private,2064,
SANJEEVANI BAHU-UDDHESHIYA,Nawalparasi,Private,2064,
KALIKA TEXTILE,Nawalparasi,Private,2064,
CHANDRA HERBAL UDHYOG,Nawalparasi,Private,2064,
BHUMI KHADHYANNA INDUSTRIES,Nawalparasi,Private,2064,
CLASSICAL FUTURE GENERATION ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2064,
MADHYA NEPAL MEDIA CENTER,Nawalparasi,Private,2064,
BELATARI CHILDRENS ACADEMY,Nawalparasi,Private,2064,
SHREE DAUNNE DEVI HOTEL & RESORT,Nawalparasi,Private,2064,
SHREE PRANISTHA  ENGLISH BOARDING SCHOOL,Nawalparasi,Private,2064,
SIDDHI BINAYAK OXYGEN UDHYOG,Nawalparasi,Private,2064,
TRIRATNA CABLE NETWORK,Nawalparasi,Private,2064,
NEPAL MIDPOINT ENGLISH SCHOOL,Nawalparasi,Private,2064,
ABHI ENTERPRISES,Nawalparasi,Private,2064,
Tamsariya English Boarding School,Nawalparasi,Private,2064,
Gaindakot Kids' Academy,Nawalparasi,Private,2064,
Lumbini Quarry,Nawalparasi,Private,2064,
Palpali Hospital,Nawalparasi,Private,2064,
Moonlight Aadarsha Public Academy,Nawalparasi,Private,2064,
Sonakoal Adhesive Udhyog,Nawalparasi,Private,2064,
Om Shanti English Boarding School Thulo Khairatawa,Nawalparasi,Private,2064,
Namuna Educational Institute,Nawalparasi,Private,2064,
S.N. Lumbini Academy,Nawalparasi,Private,2064,
Aadarsha Packaging Industries,Nawalparasi,Private,2065,
krishna gandaki byabasaek talim kendra,Nawalparasi,Private,2065,
Narsahi Narayani Beach Heaven English School,Nawalparasi,Private,2065,
Aroma Cosmetic,Nawalparasi,Private,2065,
Friends Unity Marketing,Nawalparasi,Private,2065,
Shanti Memorial Academy,Nawalparasi,Private,2065,
Sangam International Export Import,Nawalparasi,Private,2065,
"Little Step Academy, Nawalparasi",Nawalparasi,Private,2065,
KaliGandaki Real Estate,Nawalparasi,Private,2065,
Deep Jyoti Rafting Company,Nawalparasi,Private,2065,
Human Health Care Product,Nawalparasi,Private,2065,
B.M. & S. M. R. Trade Support,Nawalparasi,Private,2065,
Iron Age Education and Consultancy,Nawalparasi,Private,2065,
Daunnedevi Impex,Nawalparasi,Private,2065,
Yuva Ekikrit Krishi Farm Tatha Anusandhan Company,Nawalparasi,Private,2065,
Nepal Holy Child's English Boarding School,Nawalparasi,Private,2065,
Bright Vision English School,Nawalparasi,Private,2065,
